hex_id,bike_track_m,bike_lane_m,cyclestreet_m,road_length_m,n_ubahn_stops,n_sbahn_stops,n_tram_stops,n_bus_stops,n_bike_shops,n_bike_repair,n_bike_parking,n_bike_rental,n_traffic_signals,n_restaurants,n_cafes,n_shops,n_supermarkets,n_offices,n_schools,n_universities,n_parks,dist_hauptbahnhof_m,dist_alexanderplatz_m,has_ubahn,has_sbahn,has_tram,has_bus
1196,0.0,0.0,518.44,1587.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18698.932893211342,14199.532037243813,0,0,0,0
1197,0.0,0.0,195.28,3050.95,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18304.86112601246,13718.88814800404,0,0,1,0
1198,0.0,0.0,0.0,4243.64,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17943.962503871713,13277.389576198751,0,0,0,1
1199,39.02,37.91,194.77,4024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17618.275733967323,12879.062694887976,0,0,0,0
1200,627.7,121.01,373.12,3884.49,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,17329.786188406397,12528.026095103161,0,0,0,1
1201,56.91,135.28,311.71,4206.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17080.378767277067,12228.353109896136,0,0,1,0
1202,249.78,1161.46,199.11,6427.79,0.0,0.0,2.0,3.0,0.0,0.0,8.0,0.0,5.0,2.0,1.0,12.0,2.0,2.0,0.0,0.0,0.0,16871.78675574774,11983.897601408036,0,0,1,1
1203,95.37,539.19,1406.72,7680.19,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,16705.539136142612,11798.092373843894,0,0,1,1
1204,125.18,826.89,140.22,5718.56,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,16582.909495229367,11673.738287390182,0,1,1,1
1205,65.8,1055.17,0.0,5248.09,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16504.870094149148,11612.809631747237,0,0,1,0
